HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2012,PT,Portugal,4,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2013,PT,Portugal,2,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2014,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2015,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2016,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2017,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2018,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2019,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2020,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2012,PT,Portugal,110,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2013,PT,Portugal,130,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2014,PT,Portugal,112,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2015,PT,Portugal,144,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2016,PT,Portugal,81,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2017,PT,Portugal,48,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2018,PT,Portugal,32,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2019,PT,Portugal,23,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,R - resistant isolates,N,2020,PT,Portugal,13,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2012,PT,Portugal,65.08875739,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2013,PT,Portugal,56.27705627,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2014,PT,Portugal,42.26415094,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2015,PT,Portugal,46.4516129,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2016,PT,Portugal,39.32038834,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2017,PT,Portugal,28.57142857,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2018,PT,Portugal,25.39682539,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2019,PT,Portugal,24.73118279,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,"R - resistant isolates, percentage  ",%,2020,PT,Portugal,12.5,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2012,PT,Portugal,55,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2013,PT,Portugal,99,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2014,PT,Portugal,153,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2015,PT,Portugal,166,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2016,PT,Portugal,125,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2017,PT,Portugal,120,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2018,PT,Portugal,94,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2019,PT,Portugal,70,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,S - susceptible isolates,N,2020,PT,Portugal,91,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2012,PT,Portugal,169,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2013,PT,Portugal,231,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2014,PT,Portugal,265,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2015,PT,Portugal,310,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2016,PT,Portugal,206,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2017,PT,Portugal,168,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2018,PT,Portugal,126,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2019,PT,Portugal,93,
Antimicrobial resistance,Acinetobacter spp.|Aminoglycosides,Total tested isolates,N,2020,PT,Portugal,104,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2012,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2013,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2014,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2015,PT,Portugal,6,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2016,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2017,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2018,PT,Portugal,2,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2019,PT,Portugal,0,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"I - 'susceptible, increased exposure' isolates ",N,2020,PT,Portugal,1,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2012,PT,Portugal,133,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2013,PT,Portugal,158,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2014,PT,Portugal,139,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2015,PT,Portugal,177,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2016,PT,Portugal,107,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2017,PT,Portugal,70,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2018,PT,Portugal,39,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2019,PT,Portugal,28,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,R - resistant isolates,N,2020,PT,Portugal,16,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2012,PT,Portugal,79.16666666,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2013,PT,Portugal,68.99563318,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2014,PT,Portugal,53.05343511,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2015,PT,Portugal,57.65472312,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2016,PT,Portugal,51.94174757,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2017,PT,Portugal,40.69767441,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2018,PT,Portugal,30.70866141,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2019,PT,Portugal,31.11111111,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,"R - resistant isolates, percentage  ",%,2020,PT,Portugal,15.38461538,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2012,PT,Portugal,34,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2013,PT,Portugal,71,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2014,PT,Portugal,122,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2015,PT,Portugal,124,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2016,PT,Portugal,99,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2017,PT,Portugal,101,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2018,PT,Portugal,86,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2019,PT,Portugal,62,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,S - susceptible isolates,N,2020,PT,Portugal,87,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2012,PT,Portugal,168,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2013,PT,Portugal,229,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2014,PT,Portugal,262,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2015,PT,Portugal,307,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2016,PT,Portugal,206,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2017,PT,Portugal,172,
Antimicrobial resistance,Acinetobacter spp.|Carbapenems,Total tested isolates,N,2018,PT,Portugal,127,
