ano;consumo_ddd_hab_day;resistencias_crkp_perc;doentes_100000_hab_ano;doentes_crkp_100000_hab_ano;hab_pt;n_doentes_pt;n_doentes_crkp_pt;custos_adicionais_crkp;mortes_adicionais_crkp
2014;0,106;0,018;3869;69,642;10374822;401401,8632;7225,233537;17048877,81;1515,853996
2015;0,1;0,034;3650;124,1;10341330;377458,545;12833,59053;30282525,22;2692,487293
2016;0,092;0,052;3358;174,616;10309573;346195,4613;18002,16399;42478446,21;3776,854005
2017;0,083;0,086;3029,5;260,537;10291027;311766,663;26811,93301;63266241,5;5625,143547
2018;0,081;0,08450596;2956,5;249,8418698;10276617;303828,1816;25675,29207;60584189,42;5386,676276
2019;0,075;0,105362402;2737,5;288,429575;10295909;281850,5089;29696,44657;70072626,23;6230,314491
2020;0,081;0,08450596;2956,5;249,8418698;10298252;304467,8204;25729,34536;60711735,18;5398,016656
2021;0,07140222;0,118684534;2606,181014;309,3133785;10285626,71;268062,0506;31814,81949;75071202,51;6674,749129
2022;0,066702123;0,137137514;2434,627477;333,8787602;10273001,43;250109,3155;34299,3698;80933821,97;7196,007785
2023;0,059456263;0,168301379;2170,153594;365,2398432;10260376,14;222665,9216;37474,98174;88427091,16;7862,251169
2024;0,05857068;0,172368205;2137,829818;368,4938873;10247750,86;219079,4735;37762,33549;89105139,69;7922,537986
2025;0,056055888;0,184261051;2046,039901;377,005462;10235125,57;209414,7531;38586,98245;91051001,39;8095,548917
2026;0,057855902;0,175695748;2111,740422;371,0238133;10222500,29;215872,6707;37927,91037;89495835,15;7957,275596
2027;0,04829772;0,224630519;1762,866792;395,9936818;10209875;179986,4958;40430,45992;95400926,15;8482,310492
2028;0,043597035;0,252379625;1591,291764;401,6096187;10197249,71;162267,9948;40953,1357;96634247,58;8591,967869
2029;0,036365195;0,301532795;1327,329602;400,2334047;10184624,43;135183,5348;40762,26911;96183873,05;8551,924058
2030;0,035442348;0,308498783;1293,645697;399,0881227;10171999,14;131589,6292;40595,24042;95789747,16;8516,881441
