ano,population,bacteria,antibiotic,consumo_ddd_hab_day,resistencias_crkp_perc,resistencias_crkp_perc_proj,resistencias_crkp_perc_low_ic95,resistencias_crkp_perc_high_ic95,doentes_100000_hab_ano,doentes_100000_hab_ano_proj,doentes_100000_hab_ano_ic95_low,doentes_100000_hab_ano_ic95_high,doentes_crkp_100000_hab_ano,doentes_crkp_100000_hab_ano_proj,doentes_crkp_100000_hab_ano_ic95_low,doentes_crkp_100000_hab_ano_ic95_high,hab_pt,n_doentes_pt,n_doentes_crkp_pt,custos_adicionais_crkp,mortes_adicionais_crkp,forecast,ymax_resist,ymax_n,ymax_crkp
2014,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.106,0.018,NA,NA,NA,3869,NA,NA,NA,69.642,NA,NA,NA,10374822,401401.8632,7225.233537,1193421.447,106.1097797,norm,0.018,3869,69.642
2015,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.1,0.034,NA,NA,NA,3650,NA,NA,NA,124.1,NA,NA,NA,10341330,377458.545,12833.59053,2119776.765,188.4741105,norm,0.034,3650,124.1
2016,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.092,0.052,NA,NA,NA,3358,NA,NA,NA,174.616,NA,NA,NA,10309573,346195.4613,18002.16399,2973491.235,264.3797804,norm,0.052,3358,174.616
2017,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.083,0.086,NA,NA,NA,3029.5,NA,NA,NA,260.537,NA,NA,NA,10291027,311766.663,26811.93301,4428636.905,393.7600483,norm,0.086,3029.5,260.537
2018,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.081,0.08450596,NA,NA,NA,2956.5,NA,NA,NA,249.8418698,NA,NA,NA,10276617,303828.1816,25675.29207,4240893.259,377.0673393,norm,0.08450596,2956.5,249.8418698
2019,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.075,0.105362402,NA,NA,NA,2737.5,NA,NA,NA,288.429575,NA,NA,NA,10295909,281850.5089,29696.44657,4905083.836,436.1220144,norm,0.105362402,2737.5,288.429575
2020,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.081,0.08450596,0.08450596,0.08450596,0.08450596,2956.5,2956.5,2956.5,2956.5,249.8418698,249.8418698,249.8418698,249.8418698,10298252,304467.8204,25729.34536,4249821.463,377.8611659,norm,0.08450596,2956.5,249.8418698
2021,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.07140222,NA,0.118684534,0.071187006,0.176314062,NA,2606.181014,2106.927764,3105.434265,NA,309.3133785,250.0597392,368.5670178,10285626.71,268062.0506,31814.81949,5254984.176,467.232439,norm,0.176314062,3105.434265,368.5670178
2022,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.066702123,NA,0.137137514,0.081177774,0.207742125,NA,2434.627477,1876.221923,2993.033032,NA,333.8787602,257.3004105,410.4571099,10273001.43,250109.3155,34299.3698,5665367.538,503.720545,proj,0.207742125,2993.033032,410.4571099
2023,klebsiella pneumoniae  carbapenemos,klebsiella pneumoniae,carbapenems,0.059456263,NA,0.168301379,0.100970745,0.258094889,NA,2170.153594,1558.083565,2782.223623,NA,365.2398432,262.2276131,468.2520733,10260376.14,222665.9216,37474.98174,6189896.381,550.3575818,proj,0.258094889,2782.223623,468.2520733
