data;consumo_ddd_carbapenemos
2017/01;19669
2017/02;19070
2017/03;21464
2017/04;19829
2017/05;19631
2017/06;20111
2017/07;20225
2017/08;20502
2017/09;20370
2017/10;19740
2017/11;17759
2017/12;18180
2018/01;18500
2018/02;18326
2018/03;20805
2018/04;18464
2018/05;18763
2018/06;20159
2018/07;20006
2018/08;20580
2018/09;19201
2018/10;20548
2018/11;18307
2018/12;17519
2019/01;17719
2019/02;16555
2019/03;18273
2019/04;17688
2019/05;18433
2019/06;17808
2019/07;18895
2019/08;19446
2019/09;17932
2019/10;19003
2019/11;16929
2019/12;15752
2020/01;17086
2020/02;16906
2020/03;17109
2020/04;15001
2020/05;15635
2020/06;15746
2020/07;17576
2020/08;17115
2020/09;16680
2020/10;18275
2020/11;17501
2020/12;17663
2021/01;15882
2021/02;16515
2021/03;17741
2021/04;16886
2021/05;16717
2021/06;17690
2021/07;19800
2021/08;18596
2021/09;19500
2021/10;20340
